# xp yp zp Ex Ey Ez
# 2323 6
# 101 1 23 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.07756600e+04
 5.70455000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.06855900e+04
 1.14091000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.04915400e+04
 1.71136000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.01812900e+04
 2.28182000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.97543700e+04
 2.85227000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.92139000e+04
 3.42273000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.85643500e+04
 3.99318000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.78112900e+04
 4.56364000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.69611800e+04
 5.13409000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.60213300e+04
 5.70455000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.49998300e+04
 6.27500000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.38968900e+04
 6.84545000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.27362000e+04
 7.41591000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.15226200e+04
 7.98636000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.02670300e+04
 8.55682000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.98010100e+03
 9.12727000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.67269000e+03
 9.69773000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.35575200e+03
 1.02682000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.04023300e+03
 1.08386000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.73696700e+03
 1.14091000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.45657600e+03
 1.19795000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20946800e+03
 1.25500000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.45224300e-12
 0.00000000e+00  0.00000000e+00  4.74775000e-04  0.00000000e+00  0.00000000e+00  2.08542300e+04
 5.70455000e-04  0.00000000e+00  4.74775000e-04 -9.28848100e+01  0.00000000e+00  2.07473800e+04
 1.14091000e-03  0.00000000e+00  4.74775000e-04 -1.85313200e+02  0.00000000e+00  2.05696200e+04
 1.71136000e-03  0.00000000e+00  4.74775000e-04 -2.75814800e+02  0.00000000e+00  2.02581400e+04
 2.28182000e-03  0.00000000e+00  4.74775000e-04 -3.63860500e+02  0.00000000e+00  1.98295200e+04
 2.85227000e-03  0.00000000e+00  4.74775000e-04 -4.48690500e+02  0.00000000e+00  1.92868400e+04
 3.42273000e-03  0.00000000e+00  4.74775000e-04 -5.29574100e+02  0.00000000e+00  1.86346200e+04
 3.99318000e-03  0.00000000e+00  4.74775000e-04 -6.05816000e+02  0.00000000e+00  1.78784300e+04
 4.56364000e-03  0.00000000e+00  4.74775000e-04 -6.76763400e+02  0.00000000e+00  1.70247700e+04
 5.13409000e-03  0.00000000e+00  4.74775000e-04 -7.41812300e+02  0.00000000e+00  1.60809800e+04
 5.70455000e-03  0.00000000e+00  4.74775000e-04 -8.00235800e+02  0.00000000e+00  1.50512900e+04
 6.27500000e-03  0.00000000e+00  4.74775000e-04 -8.51800500e+02  0.00000000e+00  1.39496100e+04
 6.84545000e-03  0.00000000e+00  4.74775000e-04 -8.95947300e+02  0.00000000e+00  1.27846400e+04
 7.41591000e-03  0.00000000e+00  4.74775000e-04 -9.32222900e+02  0.00000000e+00  1.15674300e+04
 7.98636000e-03  0.00000000e+00  4.74775000e-04 -9.60147900e+02  0.00000000e+00  1.03066900e+04
 8.55682000e-03  0.00000000e+00  4.74775000e-04 -9.79854100e+02  0.00000000e+00  9.01445400e+03
 9.12727000e-03  0.00000000e+00  4.74775000e-04 -9.91228500e+02  0.00000000e+00  7.70162900e+03
 9.69773000e-03  0.00000000e+00  4.74775000e-04 -9.94239000e+02  0.00000000e+00  6.37922300e+03
 1.02682000e-02  0.00000000e+00  4.74775000e-04 -9.88936700e+02  0.00000000e+00  5.05823800e+03
 1.08386000e-02  0.00000000e+00  4.74775000e-04 -9.75461700e+02  0.00000000e+00  3.74957100e+03
 1.14091000e-02  0.00000000e+00  4.74775000e-04 -9.54053200e+02  0.00000000e+00  2.46392600e+03
 1.19795000e-02  0.00000000e+00  4.74775000e-04 -9.25164500e+02  0.00000000e+00  1.19946100e+03
 1.25500000e-02  0.00000000e+00  4.74775000e-04 -8.89312400e+02  0.00000000e+00 -4.48421100e-12
 0.00000000e+00  0.00000000e+00  9.49550000e-04  0.00000000e+00  0.00000000e+00  2.10894900e+04
 5.70455000e-04  0.00000000e+00  9.49550000e-04 -1.86178000e+02  0.00000000e+00  2.09791300e+04
 1.14091000e-03  0.00000000e+00  9.49550000e-04 -3.71283100e+02  0.00000000e+00  2.08013900e+04
 1.71136000e-03  0.00000000e+00  9.49550000e-04 -5.52803900e+02  0.00000000e+00  2.04902300e+04
 2.28182000e-03  0.00000000e+00  9.49550000e-04 -7.29502000e+02  0.00000000e+00  2.00592500e+04
 2.85227000e-03  0.00000000e+00  9.49550000e-04 -8.99388600e+02  0.00000000e+00  1.95110300e+04
 3.42273000e-03  0.00000000e+00  9.49550000e-04 -1.06127100e+03  0.00000000e+00  1.88510400e+04
 3.99318000e-03  0.00000000e+00  9.49550000e-04 -1.21372600e+03  0.00000000e+00  1.80850400e+04
 4.56364000e-03  0.00000000e+00  9.49550000e-04 -1.35723900e+03  0.00000000e+00  1.72195400e+04
 5.13409000e-03  0.00000000e+00  9.49550000e-04 -1.48720900e+03  0.00000000e+00  1.62631000e+04
 5.70455000e-03  0.00000000e+00  9.49550000e-04 -1.60421300e+03  0.00000000e+00  1.52235200e+04
 6.27500000e-03  0.00000000e+00  9.49550000e-04 -1.70728400e+03  0.00000000e+00  1.41098200e+04
 6.84545000e-03  0.00000000e+00  9.49550000e-04 -1.79558800e+03  0.00000000e+00  1.29316200e+04
 7.41591000e-03  0.00000000e+00  9.49550000e-04 -1.86842700e+03  0.00000000e+00  1.16990600e+04
 7.98636000e-03  0.00000000e+00  9.49550000e-04 -1.92525400e+03  0.00000000e+00  1.04227300e+04
 8.55682000e-03  0.00000000e+00  9.49550000e-04 -1.96554700e+03  0.00000000e+00  9.11807800e+03
 9.12727000e-03  0.00000000e+00  9.49550000e-04 -1.98728600e+03  0.00000000e+00  7.78928100e+03
 9.69773000e-03  0.00000000e+00  9.49550000e-04 -1.99207100e+03  0.00000000e+00  6.45035000e+03
 1.02682000e-02  0.00000000e+00  9.49550000e-04 -1.98002100e+03  0.00000000e+00  5.11250800e+03
 1.08386000e-02  0.00000000e+00  9.49550000e-04 -1.95550100e+03  0.00000000e+00  3.78471500e+03
 1.14091000e-02  0.00000000e+00  9.49550000e-04 -1.91205700e+03  0.00000000e+00  2.48548100e+03
 1.19795000e-02  0.00000000e+00  9.49550000e-04 -1.85454400e+03  0.00000000e+00  1.21154900e+03
 1.25500000e-02  0.00000000e+00  9.49550000e-04 -1.78029200e+03  0.00000000e+00 -4.53672100e-12
 0.00000000e+00  0.00000000e+00  1.42432000e-03  0.00000000e+00  0.00000000e+00  2.14793200e+04
 5.70455000e-04  0.00000000e+00  1.42432000e-03 -2.80881700e+02  0.00000000e+00  2.13672800e+04
 1.14091000e-03  0.00000000e+00  1.42432000e-03 -5.60216900e+02  0.00000000e+00  2.11864800e+04
 1.71136000e-03  0.00000000e+00  1.42432000e-03 -8.34600200e+02  0.00000000e+00  2.08695600e+04
 2.28182000e-03  0.00000000e+00  1.42432000e-03 -1.10091100e+03  0.00000000e+00  2.04299500e+04
 2.85227000e-03  0.00000000e+00  1.42432000e-03 -1.35755000e+03  0.00000000e+00  1.98717600e+04
 3.42273000e-03  0.00000000e+00  1.42432000e-03 -1.60230800e+03  0.00000000e+00  1.91998300e+04
 3.99318000e-03  0.00000000e+00  1.42432000e-03 -1.83309000e+03  0.00000000e+00  1.84200000e+04
