# xp yp zp Ex Ey Ez
# 4623 6
# 201 1 23 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 5.00000000e-04  0.00000000e+00  0.00000000e+00 -1.16374500e+04  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00 -2.31842100e+04  0.00000000e+00  0.00000000e+00
 1.50000000e-03  0.00000000e+00  0.00000000e+00 -3.45522800e+04  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00 -4.56350200e+04  0.00000000e+00  0.00000000e+00
 2.50000000e-03  0.00000000e+00  0.00000000e+00 -5.63383400e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00 -6.65697700e+04  0.00000000e+00  0.00000000e+00
 3.50000000e-03  0.00000000e+00  0.00000000e+00 -7.62392000e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00 -8.52597700e+04  0.00000000e+00  0.00000000e+00
 4.50000000e-03  0.00000000e+00  0.00000000e+00 -9.35489800e+04  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00 -1.01030000e+05  0.00000000e+00  0.00000000e+00
 5.50000000e-03  0.00000000e+00  0.00000000e+00 -1.07633300e+05  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00 -1.13298200e+05  0.00000000e+00  0.00000000e+00
 6.50000000e-03  0.00000000e+00  0.00000000e+00 -1.17975000e+05  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00 -1.21626700e+05  0.00000000e+00  0.00000000e+00
 7.50000000e-03  0.00000000e+00  0.00000000e+00 -1.24231200e+05  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00 -1.25782800e+05  0.00000000e+00  0.00000000e+00
 8.50000000e-03  0.00000000e+00  0.00000000e+00 -1.26293600e+05  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00 -1.25794500e+05  0.00000000e+00  0.00000000e+00
 9.50000000e-03  0.00000000e+00  0.00000000e+00 -1.24335200e+05  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00 -1.21983700e+05  0.00000000e+00  0.00000000e+00
 1.05000000e-02  0.00000000e+00  0.00000000e+00 -1.18824300e+05  0.00000000e+00  0.00000000e+00
 1.10000000e-02  0.00000000e+00  0.00000000e+00 -1.14955300e+05  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  3.35895000e-04  0.00000000e+00  0.00000000e+00  1.57523500e+04
 5.00000000e-04  0.00000000e+00  3.35895000e-04 -1.16694300e+04  0.00000000e+00  1.56324400e+04
 1.00000000e-03  0.00000000e+00  3.35895000e-04 -2.32488200e+04  0.00000000e+00  1.54750800e+04
 1.50000000e-03  0.00000000e+00  3.35895000e-04 -3.46351700e+04  0.00000000e+00  1.52670000e+04
 2.00000000e-03  0.00000000e+00  3.35895000e-04 -4.57335300e+04  0.00000000e+00  1.49770700e+04
 2.50000000e-03  0.00000000e+00  3.35895000e-04 -5.64499200e+04  0.00000000e+00  1.46062000e+04
 3.00000000e-03  0.00000000e+00  3.35895000e-04 -6.66918600e+04  0.00000000e+00  1.41558200e+04
 3.50000000e-03  0.00000000e+00  3.35895000e-04 -7.63691400e+04  0.00000000e+00  1.36279400e+04
 4.00000000e-03  0.00000000e+00  3.35895000e-04 -8.53948000e+04  0.00000000e+00  1.30253100e+04
 4.50000000e-03  0.00000000e+00  3.35895000e-04 -9.36862500e+04  0.00000000e+00  1.23514900e+04
 5.00000000e-03  0.00000000e+00  3.35895000e-04 -1.01030000e+05  0.00000000e+00  1.14420400e+04
 5.50000000e-03  0.00000000e+00  3.35895000e-04 -1.07633300e+05  0.00000000e+00  1.06247600e+04
 6.00000000e-03  0.00000000e+00  3.35895000e-04 -1.13298200e+05  0.00000000e+00  9.75616200e+03
 6.50000000e-03  0.00000000e+00  3.35895000e-04 -1.17975000e+05  0.00000000e+00  8.84523100e+03
 7.00000000e-03  0.00000000e+00  3.35895000e-04 -1.21626700e+05  0.00000000e+00  7.90235800e+03
 7.50000000e-03  0.00000000e+00  3.35895000e-04 -1.24231200e+05  0.00000000e+00  6.93926600e+03
 8.00000000e-03  0.00000000e+00  3.35895000e-04 -1.25782800e+05  0.00000000e+00  5.96883400e+03
 8.50000000e-03  0.00000000e+00  3.35895000e-04 -1.26293600e+05  0.00000000e+00  5.00481100e+03
 9.00000000e-03  0.00000000e+00  3.35895000e-04 -1.25794500e+05  0.00000000e+00  4.06142000e+03
 9.50000000e-03  0.00000000e+00  3.35895000e-04 -1.24335200e+05  0.00000000e+00  3.15285700e+03
 1.00000000e-02  0.00000000e+00  3.35895000e-04 -1.22104500e+05  0.00000000e+00  2.14577600e+03
 1.05000000e-02  0.00000000e+00  3.35895000e-04 -1.18945400e+05  0.00000000e+00  1.35887500e+03
 1.10000000e-02  0.00000000e+00  3.35895000e-04 -1.15073100e+05  0.00000000e+00  6.46182000e+02
 0.00000000e+00  0.00000000e+00  6.71790000e-04  0.00000000e+00  0.00000000e+00  3.14011900e+04
 5.00000000e-04  0.00000000e+00  6.71790000e-04 -1.17050900e+04  0.00000000e+00  3.13478300e+04
 1.00000000e-03  0.00000000e+00  6.71790000e-04 -2.33157100e+04  0.00000000e+00  3.10217000e+04
 1.50000000e-03  0.00000000e+00  6.71790000e-04 -3.47348600e+04  0.00000000e+00  3.06099300e+04
 2.00000000e-03  0.00000000e+00  6.71790000e-04 -4.58661200e+04  0.00000000e+00  3.00349200e+04
 2.50000000e-03  0.00000000e+00  6.71790000e-04 -5.66150000e+04  0.00000000e+00  2.92989000e+04
 3.00000000e-03  0.00000000e+00  6.71790000e-04 -6.68886300e+04  0.00000000e+00  2.84047400e+04
 3.50000000e-03  0.00000000e+00  6.71790000e-04 -7.65964200e+04  0.00000000e+00  2.73563500e+04
 4.00000000e-03  0.00000000e+00  6.71790000e-04 -8.56509900e+04  0.00000000e+00  2.61590100e+04
 4.50000000e-03  0.00000000e+00  6.71790000e-04 -9.41797000e+04  0.00000000e+00  2.45491400e+04
 5.00000000e-03  0.00000000e+00  6.71790000e-04 -1.01708300e+05  0.00000000e+00  2.30259700e+04
 5.50000000e-03  0.00000000e+00  6.71790000e-04 -1.08353800e+05  0.00000000e+00  2.13809600e+04
 6.00000000e-03  0.00000000e+00  6.71790000e-04 -1.14055100e+05  0.00000000e+00  1.96294000e+04
 6.50000000e-03  0.00000000e+00  6.71790000e-04 -1.18761800e+05  0.00000000e+00  1.77895700e+04
 7.00000000e-03  0.00000000e+00  6.71790000e-04 -1.22436100e+05  0.00000000e+00  1.58826900e+04
 7.50000000e-03  0.00000000e+00  6.71790000e-04 -1.25055000e+05  0.00000000e+00  1.39328700e+04
 8.00000000e-03  0.00000000e+00  6.71790000e-04 -1.26611900e+05  0.00000000e+00  1.19666700e+04
 8.50000000e-03  0.00000000e+00  6.71790000e-04 -1.27118100e+05  0.00000000e+00  1.00126000e+04
 9.00000000e-03  0.00000000e+00  6.71790000e-04 -1.26603800e+05  0.00000000e+00  8.10020100e+03
 9.50000000e-03  0.00000000e+00  6.71790000e-04 -1.25118200e+05  0.00000000e+00  6.25904100e+03
 1.00000000e-02  0.00000000e+00  6.71790000e-04 -1.22729000e+05  0.00000000e+00  4.51743200e+03
 1.05000000e-02  0.00000000e+00  6.71790000e-04 -1.19243000e+05  0.00000000e+00  2.65702500e+03
 1.10000000e-02  0.00000000e+00  6.71790000e-04 -1.15339100e+05  0.00000000e+00  1.23552400e+03
 0.00000000e+00  0.00000000e+00  1.00768000e-03  0.00000000e+00  0.00000000e+00  4.72935900e+04
 5.00000000e-04  0.00000000e+00  1.00768000e-03 -1.18380900e+04  0.00000000e+00  4.70688500e+04
 1.00000000e-03  0.00000000e+00  1.00768000e-03 -2.36460100e+04  0.00000000e+00  4.67027100e+04
 1.50000000e-03  0.00000000e+00  1.00768000e-03 -3.52193400e+04  0.00000000e+00  4.60545900e+04
 2.00000000e-03  0.00000000e+00  1.00768000e-03 -4.65075000e+04  0.00000000e+00  4.51509100e+04
 2.50000000e-03  0.00000000e+00  1.00768000e-03 -5.74144900e+04  0.00000000e+00  4.39946700e+04
 3.00000000e-03  0.00000000e+00  1.00768000e-03 -6.78465700e+04  0.00000000e+00  4.25903300e+04
 3.50000000e-03  0.00000000e+00  1.00768000e-03 -7.77122700e+04  0.00000000e+00  4.09442800e+04
 4.00000000e-03  0.00000000e+00  1.00768000e-03 -8.68766900e+04  0.00000000e+00  3.90889900e+04
 4.50000000e-03  0.00000000e+00  1.00768000e-03 -9.53309000e+04  0.00000000e+00  3.69974200e+04
 5.00000000e-03  0.00000000e+00  1.00768000e-03 -1.02963400e+05  0.00000000e+00  3.47013200e+04
 5.50000000e-03  0.00000000e+00  1.00768000e-03 -1.09701800e+05  0.00000000e+00  3.22193900e+04
 6.00000000e-03  0.00000000e+00  1.00768000e-03 -1.15482600e+05  0.00000000e+00  2.95746000e+04
 6.50000000e-03  0.00000000e+00  1.00768000e-03 -1.20252600e+05  0.00000000e+00  2.67944900e+04
 7.00000000e-03  0.00000000e+00  1.00768000e-03 -1.23971500e+05  0.00000000e+00  2.39112100e+04
 7.50000000e-03  0.00000000e+00  1.00768000e-03 -1.26614000e+05  0.00000000e+00  2.09614100e+04
 8.00000000e-03  0.00000000e+00  1.00768000e-03 -1.28171400e+05  0.00000000e+00  1.79856500e+04
 8.50000000e-03  0.00000000e+00  1.00768000e-03 -1.28653600e+05  0.00000000e+00  1.50276000e+04
 9.00000000e-03  0.00000000e+00  1.00768000e-03 -1.28090300e+05  0.00000000e+00  1.21326600e+04
 9.50000000e-03  0.00000000e+00  1.00768000e-03 -1.26531100e+05  0.00000000e+00  9.34632900e+03
 1.00000000e-02  0.00000000e+00  1.00768000e-03 -1.24045300e+05  0.00000000e+00  6.71226600e+03
 1.05000000e-02  0.00000000e+00  1.00768000e-03 -1.20720500e+05  0.00000000e+00  4.27015600e+03
 1.10000000e-02  0.00000000e+00  1.00768000e-03 -1.16641600e+05  0.00000000e+00  2.04556900e+03
 0.00000000e+00  0.00000000e+00  1.34358000e-03  0.00000000e+00  0.00000000e+00  6.34040500e+04
 5.00000000e-04  0.00000000e+00  1.34358000e-03 -1.20224800e+04  0.00000000e+00  6.30961500e+04
 1.00000000e-03  0.00000000e+00  1.34358000e-03 -2.40150300e+04  0.00000000e+00  6.26003100e+04
 1.50000000e-03  0.00000000e+00  1.34358000e-03 -3.57710700e+04  0.00000000e+00  6.17346600e+04
 2.00000000e-03  0.00000000e+00  1.34358000e-03 -4.72407300e+04  0.00000000e+00  6.05270300e+04
 2.50000000e-03  0.00000000e+00  1.34358000e-03 -5.83271200e+04  0.00000000e+00  5.89812400e+04
 3.00000000e-03  0.00000000e+00  1.34358000e-03 -6.89291800e+04  0.00000000e+00  5.71363800e+04
 3.50000000e-03  0.00000000e+00  1.34358000e-03 -7.89578900e+04  0.00000000e+00  5.49419000e+04
 4.00000000e-03  0.00000000e+00  1.34358000e-03 -8.83215800e+04  0.00000000e+00  5.24361900e+04
 4.50000000e-03  0.00000000e+00  1.34358000e-03 -9.69335100e+04  0.00000000e+00  4.96342300e+04
 5.00000000e-03  0.00000000e+00  1.34358000e-03 -1.04711800e+05  0.00000000e+00  4.65554500e+04
 5.50000000e-03  0.00000000e+00  1.34358000e-03 -1.11581000e+05  0.00000000e+00  4.32244900e+04
 6.00000000e-03  0.00000000e+00  1.34358000e-03 -1.17473800e+05  0.00000000e+00  3.96717600e+04
 6.50000000e-03  0.00000000e+00  1.34358000e-03 -1.22333600e+05  0.00000000e+00  3.59339500e+04
 7.00000000e-03  0.00000000e+00  1.34358000e-03 -1.26116400e+05  0.00000000e+00  3.20541900e+04
 7.50000000e-03  0.00000000e+00  1.34358000e-03 -1.28793100e+05  0.00000000e+00  2.80818800e+04
 8.00000000e-03  0.00000000e+00  1.34358000e-03 -1.30352200e+05  0.00000000e+00  2.40720200e+04
 8.50000000e-03  0.00000000e+00  1.34358000e-03 -1.30801500e+05  0.00000000e+00  2.00840600e+04
 9.00000000e-03  0.00000000e+00  1.34358000e-03 -1.30169700e+05  0.00000000e+00  1.61801000e+04
 9.50000000e-03  0.00000000e+00  1.34358000e-03 -1.28507200e+05  0.00000000e+00  1.24226200e+04
 1.00000000e-02  0.00000000e+00  1.34358000e-03 -1.25885300e+05  0.00000000e+00  8.87173700e+03
 1.05000000e-02  0.00000000e+00  1.34358000e-03 -1.22395800e+05  0.00000000e+00  5.58219800e+03
 1.10000000e-02  0.00000000e+00  1.34358000e-03 -1.18120700e+05  0.00000000e+00  2.62327500e+03
 0.00000000e+00  0.00000000e+00  1.67947000e-03  0.00000000e+00  0.00000000e+00  7.97985800e+04
 5.00000000e-04  0.00000000e+00  1.67947000e-03 -1.22623900e+04  0.00000000e+00  7.94104100e+04
 1.00000000e-03  0.00000000e+00  1.67947000e-03 -2.44932200e+04  0.00000000e+00  7.88249800e+04
 1.50000000e-03  0.00000000e+00  1.67947000e-03 -3.64852600e+04  0.00000000e+00  7.77526200e+04
 2.00000000e-03  0.00000000e+00  1.67947000e-03 -4.81886300e+04  0.00000000e+00  7.62546600e+04
 2.50000000e-03  0.00000000e+00  1.67947000e-03 -5.95141800e+04  0.00000000e+00  7.42929600e+04
 3.00000000e-03  0.00000000e+00  1.67947000e-03 -7.03477200e+04  0.00000000e+00  7.19465300e+04
 3.50000000e-03  0.00000000e+00  1.67947000e-03 -8.06006200e+04  0.00000000e+00  6.91933200e+04
 4.00000000e-03  0.00000000e+00  1.67947000e-03 -9.01801900e+04  0.00000000e+00  6.60466700e+04
 4.50000000e-03  0.00000000e+00  1.67947000e-03 -9.89967100e+04  0.00000000e+00  6.25245400e+04
 5.00000000e-03  0.00000000e+00  1.67947000e-03 -1.06964700e+05  0.00000000e+00  5.86505100e+04
 5.50000000e-03  0.00000000e+00  1.67947000e-03 -1.14004600e+05  0.00000000e+00  5.44547200e+04
 6.00000000e-03  0.00000000e+00  1.67947000e-03 -1.20044600e+05  0.00000000e+00  4.99747500e+04
 6.50000000e-03  0.00000000e+00  1.67947000e-03 -1.25023000e+05  0.00000000e+00  4.52562700e+04
 7.00000000e-03  0.00000000e+00  1.67947000e-03 -1.28890800e+05  0.00000000e+00  4.03533800e+04
 7.50000000e-03  0.00000000e+00  1.67947000e-03 -1.31614200e+05  0.00000000e+00  3.53284900e+04
 8.00000000e-03  0.00000000e+00  1.67947000e-03 -1.33177700e+05  0.00000000e+00  3.02515700e+04
 8.50000000e-03  0.00000000e+00  1.67947000e-03 -1.33585900e+05  0.00000000e+00  2.51987100e+04
 9.00000000e-03  0.00000000e+00  1.67947000e-03 -1.32866300e+05  0.00000000e+00  2.02498900e+04
 9.50000000e-03  0.00000000e+00  1.67947000e-03 -1.31069600e+05  0.00000000e+00  1.54859400e+04
 1.00000000e-02  0.00000000e+00  1.67947000e-03 -1.28270200e+05  0.00000000e+00  1.09850000e+04
 1.05000000e-02  0.00000000e+00  1.67947000e-03 -1.24564900e+05  0.00000000e+00  6.81846200e+03
 1.10000000e-02  0.00000000e+00  1.67947000e-03 -1.20069900e+05  0.00000000e+00  3.04696900e+03
 0.00000000e+00  0.00000000e+00  2.01537000e-03  0.00000000e+00  0.00000000e+00  9.65493100e+04
 5.00000000e-04  0.00000000e+00  2.01537000e-03 -1.25572200e+04  0.00000000e+00  9.60807400e+04
 1.00000000e-03  0.00000000e+00  2.01537000e-03 -2.50833300e+04  0.00000000e+00  9.53656100e+04
 1.50000000e-03  0.00000000e+00  2.01537000e-03 -3.73694900e+04  0.00000000e+00  9.40729800e+04
 2.00000000e-03  0.00000000e+00  2.01537000e-03 -4.93651400e+04  0.00000000e+00  9.22672800e+04
 2.50000000e-03  0.00000000e+00  2.01537000e-03 -6.09717900e+04  0.00000000e+00  8.99534300e+04
 3.00000000e-03  0.00000000e+00  2.01537000e-03 -7.20832400e+04  0.00000000e+00  8.71034600e+04
 3.50000000e-03  0.00000000e+00  2.01537000e-03 -8.26120600e+04  0.00000000e+00  8.37852400e+04
 4.00000000e-03  0.00000000e+00  2.01537000e-03 -9.24580600e+04  0.00000000e+00  7.99889400e+04
 4.50000000e-03  0.00000000e+00  2.01537000e-03 -1.01527900e+05  0.00000000e+00  7.57349800e+04
 5.00000000e-03  0.00000000e+00  2.01537000e-03 -1.09731700e+05  0.00000000e+00  7.10504900e+04
 5.50000000e-03  0.00000000e+00  2.01537000e-03 -1.16984800e+05  0.00000000e+00  6.59706300e+04
 6.00000000e-03  0.00000000e+00  2.01537000e-03 -1.23209600e+05  0.00000000e+00  6.05396600e+04
 6.50000000e-03  0.00000000e+00  2.01537000e-03 -1.28338100e+05  0.00000000e+00  5.48119900e+04
 7.00000000e-03  0.00000000e+00  2.01537000e-03 -1.32314900e+05  0.00000000e+00  4.88526500e+04
 7.50000000e-03  0.00000000e+00  2.01537000e-03 -1.35100100e+05  0.00000000e+00  4.27373200e+04
 8.00000000e-03  0.00000000e+00  2.01537000e-03 -1.36672400e+05  0.00000000e+00  3.65516000e+04
 8.50000000e-03  0.00000000e+00  2.01537000e-03 -1.37032700e+05  0.00000000e+00  3.03892800e+04
 9.00000000e-03  0.00000000e+00  2.01537000e-03 -1.36205900e+05  0.00000000e+00  2.43496500e+04
 9.50000000e-03  0.00000000e+00  2.01537000e-03 -1.34243400e+05  0.00000000e+00  1.85337900e+04
 1.00000000e-02  0.00000000e+00  2.01537000e-03 -1.31222800e+05  0.00000000e+00  1.30399000e+04
 1.05000000e-02  0.00000000e+00  2.01537000e-03 -1.27247600e+05  0.00000000e+00  7.95810600e+03
 1.10000000e-02  0.00000000e+00  2.01537000e-03 -1.22443200e+05  0.00000000e+00  3.36518900e+03
 0.00000000e+00  0.00000000e+00  2.35126000e-03  0.00000000e+00  0.00000000e+00  1.13728800e+05
 5.00000000e-04  0.00000000e+00  2.35126000e-03 -1.29051600e+04  0.00000000e+00  1.13180900e+05
 1.00000000e-03  0.00000000e+00  2.35126000e-03 -2.57795400e+04  0.00000000e+00  1.12335900e+05
 1.50000000e-03  0.00000000e+00  2.35126000e-03 -3.84131300e+04  0.00000000e+00  1.10821800e+05
 2.00000000e-03  0.00000000e+00  2.35126000e-03 -5.07545900e+04  0.00000000e+00  1.08706400e+05
 2.50000000e-03  0.00000000e+00  2.35126000e-03 -6.27042600e+04  0.00000000e+00  1.05994200e+05
 3.00000000e-03  0.00000000e+00  2.35126000e-03 -7.41627800e+04  0.00000000e+00  1.02692300e+05
 3.50000000e-03  0.00000000e+00  2.35126000e-03 -8.49965100e+04  0.00000000e+00  9.87888700e+04
 4.00000000e-03  0.00000000e+00  2.35126000e-03 -9.51612800e+04  0.00000000e+00  9.43332600e+04
 4.50000000e-03  0.00000000e+00  2.35126000e-03 -1.04535400e+05  0.00000000e+00  8.93342400e+04
 5.00000000e-03  0.00000000e+00  2.35126000e-03 -1.13023800e+05  0.00000000e+00  8.38218300e+04
 5.50000000e-03  0.00000000e+00  2.35126000e-03 -1.20535600e+05  0.00000000e+00  7.78354500e+04
 6.00000000e-03  0.00000000e+00  2.35126000e-03 -1.26986200e+05  0.00000000e+00  7.14255200e+04
 6.50000000e-03  0.00000000e+00  2.35126000e-03 -1.32299900e+05  0.00000000e+00  6.46547300e+04
 7.00000000e-03  0.00000000e+00  2.35126000e-03 -1.36413100e+05  0.00000000e+00  5.75989200e+04
 7.50000000e-03  0.00000000e+00  2.35126000e-03 -1.39278100e+05  0.00000000e+00  5.03473000e+04
 8.00000000e-03  0.00000000e+00  2.35126000e-03 -1.40866500e+05  0.00000000e+00  4.30018000e+04
 8.50000000e-03  0.00000000e+00  2.35126000e-03 -1.41173500e+05  0.00000000e+00  3.56751900e+04
 9.00000000e-03  0.00000000e+00  2.35126000e-03 -1.40220900e+05  0.00000000e+00  2.84879200e+04
