# xp yp zp Ex Ey Ez
# 11111 6
# 271 1 41 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.84332600e+04
 2.00000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.83592100e+04
 4.00000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.82851700e+04
 6.00000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.82179500e+04
 8.00000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80812900e+04
 1.00000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79375900e+04
 1.20000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.77546900e+04
 1.40000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.75389400e+04
 1.60000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.73098400e+04
 1.80000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.70231400e+04
 2.00000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.67290800e+04
 2.20000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.63948500e+04
 2.40000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.60332400e+04
 2.60000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56592500e+04
 2.80000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.52361600e+04
 3.00000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.48062600e+04
 3.20000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.43444600e+04
 3.40000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.38599300e+04
 3.60000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.33696200e+04
 3.80000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.28341500e+04
 4.00000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.22973300e+04
 4.20000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.17371500e+04
 4.40000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11627700e+04
 4.60000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.05836500e+04
 4.80000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.97506700e+03
 5.00000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.36814400e+03
 5.20000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.74369600e+03
 5.40000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.11879800e+03
 5.60000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.49054700e+03
 5.80000000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.84552000e+03
