# x1 x2 x3 x4 x5 x6
# 51 6
# 51 6
 3.82785734e-04 -7.22974989e-03  5.69630845e-02 -5.02688554e+07 -7.19127484e+07 -1.63001585e+08
 4.34104159e-03 -2.77699790e-04 -5.74168509e-02  9.49798435e+07 -1.05823199e+08  1.12896832e+08
 5.04755033e-03 -1.69015748e-03  1.28375778e-01 -8.21000947e+07 -9.69881192e+07 -1.44571924e+08
 6.48598503e-03 -5.67614465e-03  1.60287635e-02  1.82646805e+08  6.39223751e+07  2.86183951e+07
 5.50470075e-03 -6.13126531e-03 -9.45028441e-02 -1.72632652e+08 -8.52185780e+05 -2.98363379e+07
 2.06003081e-03 -2.53880529e-03 -1.02853516e-02  1.11531153e+08 -1.49773960e+08 -1.10586688e+07
 5.32648931e-03  7.47186646e-03  1.73816198e-02  7.67021589e+07 -1.48846104e+08  4.80904967e+07
 5.35106567e-04  9.33712315e-04 -4.76555768e-02  1.18188875e+08 -1.40243109e+08  1.77274388e+07
 4.94385363e-05  1.07256878e-02  1.33022104e-01  1.68855986e+08 -3.04207801e+07 -6.20918855e+07
 4.81557221e-03  5.25198742e-04 -2.97139720e-02 -1.13732718e+08 -7.58189216e+06 -1.26714125e+08
 6.96661120e-03  9.93189884e-03  1.28782206e-02 -9.27764017e+07  1.01095280e+08  1.25624059e+08
 4.26226612e-03 -1.33987875e-03  8.82267437e-04  1.54304676e+08 -6.21170833e+07 -4.27441291e+07
 8.57760443e-03  5.93916544e-03 -1.21223469e-02 -1.15931695e+08 -1.46578728e+08 -2.53376843e+07
 6.48493911e-03 -8.43609721e-03 -7.79123873e-02 -1.57135430e+08  1.07143950e+07 -9.13778986e+07
 5.03045444e-03  3.67443063e-03 -1.48146765e-01 -2.37878313e+07 -1.74948077e+08 -7.41678436e+07
 7.59579603e-03  3.59658226e-03  2.24449418e-02 -9.77576851e+07  8.15152192e+07 -1.16421294e+08
 6.19252340e-03  4.29206198e-03 -1.33934240e-01 -7.92071222e+07  2.57677196e+07  1.60839176e+08
 3.80200331e-03  4.00370642e-03  6.41300095e-02  9.39498625e+07 -1.21716629e+08 -9.47887204e+07
 3.51531332e-03  1.16767321e-02 -1.58871365e-02  1.74847997e+08  2.46024829e+07 -7.96972714e+07
 6.35917264e-03 -7.94332161e-03 -2.49020225e-02  1.35002241e+08  1.13412809e+08  8.10534517e+07
 5.12552140e-04 -6.18975147e-04  2.89073418e-02 -1.53889682e+08 -8.73619980e+07  4.80458485e+07
 1.03967155e-02  1.04810729e-03  1.17004689e-03  1.39490636e+08 -8.81683489e+07  9.11252117e+07
