# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.10749246E-02  0.00000000E+00 -0.47655222E-01 -0.62362963E+08 -0.17247493E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.17725794E-02  0.00000000E+00 -0.47478302E-01  0.15011339E+09 -0.10536940E+09  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.34353067E-02  0.00000000E+00 -0.47301028E-01  0.17460672E+09 -0.56118014E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.52090665E-02  0.00000000E+00 -0.47123754E-01  0.17919755E+09 -0.39050974E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.70134800E-02  0.00000000E+00 -0.46946125E-01  0.18073242E+09 -0.31185425E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.88245469E-02  0.00000000E+00 -0.46768850E-01  0.18139894E+09 -0.27040058E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.10640366E-01  0.00000000E+00 -0.46591576E-01  0.18172829E+09 -0.24729876E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.12458586E-01  0.00000000E+00 -0.46414302E-01  0.18189668E+09 -0.23459293E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.14274368E-01  0.00000000E+00 -0.46237382E-01  0.18197621E+09 -0.22834123E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.16094291E-01  0.00000000E+00 -0.46060107E-01  0.18200118E+09 -0.22634270E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.17914269E-01  0.00000000E+00 -0.45882833E-01  0.18198906E+09 -0.22731543E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.19733983E-01  0.00000000E+00 -0.45705559E-01  0.18194980E+09 -0.23043687E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.21553194E-01  0.00000000E+00 -0.45528284E-01  0.18188934E+09 -0.23516125E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.23371711E-01  0.00000000E+00 -0.45351010E-01  0.18181141E+09 -0.24111227E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.25193007E-01  0.00000000E+00 -0.45173381E-01  0.18171824E+09 -0.24803665E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.27009668E-01  0.00000000E+00 -0.44996106E-01  0.18161184E+09 -0.25571053E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.28825203E-01  0.00000000E+00 -0.44818832E-01  0.18149319E+09 -0.26400028E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.30639493E-01  0.00000000E+00 -0.44641558E-01  0.18136310E+09 -0.27279396E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.32452429E-01  0.00000000E+00 -0.44464283E-01  0.18122217E+09 -0.28200459E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
