# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.10725209E-01  0.00000000E+00  0.13302086E+00 -0.29593607E+08 -0.16900292E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.10553440E-01  0.00000000E+00  0.13240119E+00 -0.46270595E+07 -0.17151198E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.10634361E-01  0.00000000E+00  0.13178027E+00  0.20714223E+08 -0.17031937E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.10962942E-01  0.00000000E+00  0.13115935E+00  0.44637061E+08 -0.16566623E+09 -0.62091886E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.11519266E-01  0.00000000E+00  0.13053719E+00  0.65878077E+08 -0.15842300E+09 -0.62091886E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.12270264E-01  0.00000000E+00  0.12991627E+00  0.83754898E+08 -0.14974273E+09 -0.62091886E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.13183320E-01  0.00000000E+00  0.12929535E+00  0.98330485E+08 -0.14060186E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.14227108E-01  0.00000000E+00  0.12867443E+00  0.10998000E+09 -0.13168966E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.15372459E-01  0.00000000E+00  0.12805475E+00  0.11918925E+09 -0.12341673E+09 -0.62091886E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.16602256E-01  0.00000000E+00  0.12743383E+00  0.12648558E+09 -0.11592741E+09 -0.62091886E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.17897140E-01  0.00000000E+00  0.12681292E+00  0.13226981E+09 -0.10928158E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.19243750E-01  0.00000000E+00  0.12619200E+00  0.13688058E+09 -0.10344794E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.20631724E-01  0.00000000E+00  0.12557108E+00  0.14058092E+09 -0.98360417E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.22053009E-01  0.00000000E+00  0.12495016E+00  0.14357193E+09 -0.93940767E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.23504231E-01  0.00000000E+00  0.12432800E+00  0.14601084E+09 -0.90103291E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.24974633E-01  0.00000000E+00  0.12370708E+00  0.14800428E+09 -0.86789979E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.26463148E-01  0.00000000E+00  0.12308616E+00  0.14964633E+09 -0.83927020E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.27966617E-01  0.00000000E+00  0.12246524E+00  0.15100510E+09 -0.81456900E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.29482483E-01  0.00000000E+00  0.12184432E+00  0.15213334E+09 -0.79329790E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.31008654E-01  0.00000000E+00  0.12122340E+00  0.15307216E+09 -0.77502784E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.32543403E-01  0.00000000E+00  0.12060249E+00  0.15385392E+09 -0.75939042E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.34085295E-01  0.00000000E+00  0.11998157E+00  0.15450428E+09 -0.74606940E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.35633120E-01  0.00000000E+00  0.11936065E+00  0.15504373E+09 -0.73479309E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.37185855E-01  0.00000000E+00  0.11873973E+00  0.15548880E+09 -0.72532760E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.38742626E-01  0.00000000E+00  0.11811881E+00  0.15585288E+09 -0.71747103E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
