# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.80303195E-03  0.00000000E+00  0.28908303E-01 -0.30109878E+08 -0.17437760E+09  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.18060190E-02  0.00000000E+00  0.29387800E-01  0.15857188E+09 -0.78543702E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.34786237E-02  0.00000000E+00  0.29868259E-01  0.17176729E+09 -0.42545876E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.52116680E-02  0.00000000E+00  0.30348717E-01  0.17432577E+09 -0.30408558E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.69634444E-02  0.00000000E+00  0.30830137E-01  0.17519890E+09 -0.24889691E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.87175556E-02  0.00000000E+00  0.31310595E-01  0.17557554E+09 -0.22076716E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.10474310E-01  0.00000000E+00  0.31791054E-01  0.17575334E+09 -0.20613478E+08  0.48045848E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.12232301E-01  0.00000000E+00  0.32271512E-01  0.17583314E+09 -0.19921378E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.13987271E-01  0.00000000E+00  0.32751010E-01  0.17585688E+09 -0.19710649E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.15745803E-01  0.00000000E+00  0.33231468E-01  0.17584464E+09 -0.19819615E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.17504079E-01  0.00000000E+00  0.33711927E-01  0.17580680E+09 -0.20152451E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.19261874E-01  0.00000000E+00  0.34192385E-01  0.17574933E+09 -0.20647696E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.21019012E-01  0.00000000E+00  0.34672844E-01  0.17567578E+09 -0.21264403E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.22775343E-01  0.00000000E+00  0.35153302E-01  0.17558840E+09 -0.21974238E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.24534248E-01  0.00000000E+00  0.35634722E-01  0.17548846E+09 -0.22758594E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.26288587E-01  0.00000000E+00  0.36115180E-01  0.17537736E+09 -0.23599480E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.28041760E-01  0.00000000E+00  0.36595638E-01  0.17525560E+09 -0.24487266E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.29793665E-01  0.00000000E+00  0.37076097E-01  0.17512370E+09 -0.25413434E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.31544201E-01  0.00000000E+00  0.37556555E-01  0.17498201E+09 -0.26371351E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.33293273E-01  0.00000000E+00  0.38037014E-01  0.17483082E+09 -0.27355774E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.35040787E-01  0.00000000E+00  0.38517472E-01  0.17467032E+09 -0.28362495E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.36786649E-01  0.00000000E+00  0.38997931E-01  0.17450069E+09 -0.29388102E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.38530771E-01  0.00000000E+00  0.39478389E-01  0.17432206E+09 -0.30429792E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.40273061E-01  0.00000000E+00  0.39958848E-01  0.17413452E+09 -0.31485242E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.42013432E-01  0.00000000E+00  0.40439306E-01  0.17393817E+09 -0.32552506E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.43751795E-01  0.00000000E+00  0.40919765E-01  0.17373307E+09 -0.33629941E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
