# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.19126771E-02  0.00000000E+00 -0.31467619E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.19126771E-02  0.00000000E+00 -0.14739144E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.19126771E-02  0.00000000E+00  0.20228546E-03  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.19126771E-02  0.00000000E+00  0.18784854E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.19126771E-02  0.00000000E+00  0.35580377E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.19126771E-02  0.00000000E+00  0.52342376E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.19126771E-02  0.00000000E+00  0.69104375E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.19126771E-02  0.00000000E+00  0.85866374E-02  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.19126771E-02  0.00000000E+00  0.10259485E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.19126771E-02  0.00000000E+00  0.11935685E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.19126771E-02  0.00000000E+00  0.13611885E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.19126771E-02  0.00000000E+00  0.15288085E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.19126771E-02  0.00000000E+00  0.16964284E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.19126771E-02  0.00000000E+00  0.18640484E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.19126771E-02  0.00000000E+00  0.20320037E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.19126771E-02  0.00000000E+00  0.21996237E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.19126771E-02  0.00000000E+00  0.23672436E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.19126771E-02  0.00000000E+00  0.25348636E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.19126771E-02  0.00000000E+00  0.27024836E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.19126771E-02  0.00000000E+00  0.28701036E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.19126771E-02  0.00000000E+00  0.30377236E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.19126771E-02  0.00000000E+00  0.32053436E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.19126771E-02  0.00000000E+00  0.33729636E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.19126771E-02  0.00000000E+00  0.35405836E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.19126771E-02  0.00000000E+00  0.37082036E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.19126771E-02  0.00000000E+00  0.38758236E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.19126771E-02  0.00000000E+00  0.40434435E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
