# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.72900993E-02  0.00000000E+00 -0.10923326E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.72900993E-02  0.00000000E+00 -0.91332734E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.72900993E-02  0.00000000E+00 -0.73396335E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.72900993E-02  0.00000000E+00 -0.55459936E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.72900993E-02  0.00000000E+00 -0.37487665E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.72900993E-02  0.00000000E+00 -0.19551266E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.72900993E-02  0.00000000E+00 -0.16148668E-03  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.72900993E-02  0.00000000E+00  0.16321532E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.72900993E-02  0.00000000E+00  0.34222058E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.72900993E-02  0.00000000E+00  0.52158457E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.72900993E-02  0.00000000E+00  0.70094856E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.72900993E-02  0.00000000E+00  0.88031255E-02  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.72900993E-02  0.00000000E+00  0.10596765E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.72900993E-02  0.00000000E+00  0.12390405E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.72900993E-02  0.00000000E+00  0.14187632E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.72900993E-02  0.00000000E+00  0.15981272E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.72900993E-02  0.00000000E+00  0.17774912E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.72900993E-02  0.00000000E+00  0.19568552E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.72900993E-02  0.00000000E+00  0.21362192E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.72900993E-02  0.00000000E+00  0.23155832E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.72900993E-02  0.00000000E+00  0.24949472E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.72900993E-02  0.00000000E+00  0.26743112E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.72900993E-02  0.00000000E+00  0.28536752E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.72900993E-02  0.00000000E+00  0.30330391E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.72900993E-02  0.00000000E+00  0.32124031E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.72900993E-02  0.00000000E+00  0.33917671E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.72900993E-02  0.00000000E+00  0.35711311E-01  0.00000000E+00  0.00000000E+00  0.17936399E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
