# xp yp zp Ex Ey Ez
# 4623 6
# 201 1 23 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 5.00000000e-04  0.00000000e+00  0.00000000e+00 -4.31656800e+03  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00 -8.60315300e+03  0.00000000e+00  0.00000000e+00
 1.50000000e-03  0.00000000e+00  0.00000000e+00 -1.28294100e+04  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00 -1.69601300e+04  0.00000000e+00  0.00000000e+00
 2.50000000e-03  0.00000000e+00  0.00000000e+00 -2.09648300e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00 -2.48143300e+04  0.00000000e+00  0.00000000e+00
 3.50000000e-03  0.00000000e+00  0.00000000e+00 -2.84811500e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00 -3.19397900e+04  0.00000000e+00  0.00000000e+00
 4.50000000e-03  0.00000000e+00  0.00000000e+00 -3.51670900e+04  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00 -3.81425300e+04  0.00000000e+00  0.00000000e+00
 5.50000000e-03  0.00000000e+00  0.00000000e+00 -4.08484800e+04  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00 -4.32704900e+04  0.00000000e+00  0.00000000e+00
 6.50000000e-03  0.00000000e+00  0.00000000e+00 -4.53974700e+04  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00 -4.72218600e+04  0.00000000e+00  0.00000000e+00
 7.50000000e-03  0.00000000e+00  0.00000000e+00 -4.87397400e+04  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00 -4.99508900e+04  0.00000000e+00  0.00000000e+00
 8.50000000e-03  0.00000000e+00  0.00000000e+00 -5.08587000e+04  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00 -5.14701200e+04  0.00000000e+00  0.00000000e+00
 9.50000000e-03  0.00000000e+00  0.00000000e+00 -5.17954500e+04  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00 -5.18480300e+04  0.00000000e+00  0.00000000e+00
 1.05000000e-02  0.00000000e+00  0.00000000e+00 -5.16439800e+04  0.00000000e+00  0.00000000e+00
 1.10000000e-02  0.00000000e+00  0.00000000e+00 -5.12017400e+04  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  4.72350000e-04  0.00000000e+00  0.00000000e+00  8.21052500e+03
 5.00000000e-04  0.00000000e+00  4.72350000e-04 -4.33947000e+03  0.00000000e+00  8.17405300e+03
 1.00000000e-03  0.00000000e+00  4.72350000e-04 -8.62478300e+03  0.00000000e+00  8.08017400e+03
 1.50000000e-03  0.00000000e+00  4.72350000e-04 -1.28569200e+04  0.00000000e+00  7.98198700e+03
 2.00000000e-03  0.00000000e+00  4.72350000e-04 -1.69924400e+04  0.00000000e+00  7.84601000e+03
 2.50000000e-03  0.00000000e+00  4.72350000e-04 -2.10089400e+04  0.00000000e+00  7.64823600e+03
 3.00000000e-03  0.00000000e+00  4.72350000e-04 -2.48671700e+04  0.00000000e+00  7.43043200e+03
 3.50000000e-03  0.00000000e+00  4.72350000e-04 -2.85422400e+04  0.00000000e+00  7.18017500e+03
 4.00000000e-03  0.00000000e+00  4.72350000e-04 -3.20085400e+04  0.00000000e+00  6.89989300e+03
 4.50000000e-03  0.00000000e+00  4.72350000e-04 -3.52428000e+04  0.00000000e+00  6.59232000e+03
 5.00000000e-03  0.00000000e+00  4.72350000e-04 -3.82243800e+04  0.00000000e+00  6.26047600e+03
 5.50000000e-03  0.00000000e+00  4.72350000e-04 -4.09355500e+04  0.00000000e+00  5.90765200e+03
 6.00000000e-03  0.00000000e+00  4.72350000e-04 -4.33617700e+04  0.00000000e+00  5.53737300e+03
 6.50000000e-03  0.00000000e+00  4.72350000e-04 -4.54918800e+04  0.00000000e+00  5.15335700e+03
 7.00000000e-03  0.00000000e+00  4.72350000e-04 -4.73182700e+04  0.00000000e+00  4.75946600e+03
 7.50000000e-03  0.00000000e+00  4.72350000e-04 -4.88370100e+04  0.00000000e+00  4.35965300e+03
 8.00000000e-03  0.00000000e+00  4.72350000e-04 -5.00478600e+04  0.00000000e+00  3.95789000e+03
 8.50000000e-03  0.00000000e+00  4.72350000e-04 -5.09542500e+04  0.00000000e+00  3.55810400e+03
 9.00000000e-03  0.00000000e+00  4.72350000e-04 -5.15631800e+04  0.00000000e+00  3.16410500e+03
 9.50000000e-03  0.00000000e+00  4.72350000e-04 -5.18850200e+04  0.00000000e+00  2.77950500e+03
 1.00000000e-02  0.00000000e+00  4.72350000e-04 -5.19332400e+04  0.00000000e+00  2.40765700e+03
 1.05000000e-02  0.00000000e+00  4.72350000e-04 -5.17240600e+04  0.00000000e+00  2.05157900e+03
 1.10000000e-02  0.00000000e+00  4.72350000e-04 -5.12760700e+04  0.00000000e+00  1.71390300e+03
 0.00000000e+00  0.00000000e+00  9.44700000e-04  0.00000000e+00  0.00000000e+00  1.64242500e+04
 5.00000000e-04  0.00000000e+00  9.44700000e-04 -4.37479700e+03  0.00000000e+00  1.63503900e+04
 1.00000000e-03  0.00000000e+00  9.44700000e-04 -8.73936700e+03  0.00000000e+00  1.62373700e+04
 1.50000000e-03  0.00000000e+00  9.44700000e-04 -1.30238700e+04  0.00000000e+00  1.60333200e+04
 2.00000000e-03  0.00000000e+00  9.44700000e-04 -1.72117600e+04  0.00000000e+00  1.57505400e+04
 2.50000000e-03  0.00000000e+00  9.44700000e-04 -2.12716300e+04  0.00000000e+00  1.53917200e+04
 3.00000000e-03  0.00000000e+00  9.44700000e-04 -2.51737900e+04  0.00000000e+00  1.49602600e+04
 3.50000000e-03  0.00000000e+00  9.44700000e-04 -2.88902800e+04  0.00000000e+00  1.44603300e+04
 4.00000000e-03  0.00000000e+00  9.44700000e-04 -3.23951900e+04  0.00000000e+00  1.38968400e+04
 4.50000000e-03  0.00000000e+00  9.44700000e-04 -3.56311100e+04  0.00000000e+00  1.32710800e+04
 5.00000000e-03  0.00000000e+00  9.44700000e-04 -3.86379500e+04  0.00000000e+00  1.26005600e+04
 5.50000000e-03  0.00000000e+00  9.44700000e-04 -4.13704200e+04  0.00000000e+00  1.18859600e+04
 6.00000000e-03  0.00000000e+00  9.44700000e-04 -4.38139000e+04  0.00000000e+00  1.11346300e+04
 6.50000000e-03  0.00000000e+00  9.44700000e-04 -4.59571600e+04  0.00000000e+00  1.03543600e+04
 7.00000000e-03  0.00000000e+00  9.44700000e-04 -4.77925500e+04  0.00000000e+00  9.55326300e+03
 7.50000000e-03  0.00000000e+00  9.44700000e-04 -4.93160900e+04  0.00000000e+00  8.73965300e+03
 8.00000000e-03  0.00000000e+00  9.44700000e-04 -5.05275400e+04  0.00000000e+00  7.92190900e+03
 8.50000000e-03  0.00000000e+00  9.44700000e-04 -5.14303800e+04  0.00000000e+00  7.10831600e+03
 9.00000000e-03  0.00000000e+00  9.44700000e-04 -5.20316900e+04  0.00000000e+00  6.30690500e+03
 9.50000000e-03  0.00000000e+00  9.44700000e-04 -5.23575600e+04  0.00000000e+00  5.50386100e+03
 1.00000000e-02  0.00000000e+00  9.44700000e-04 -5.23837300e+04  0.00000000e+00  4.74833800e+03
 1.05000000e-02  0.00000000e+00  9.44700000e-04 -5.21495300e+04  0.00000000e+00  4.02670200e+03
 1.10000000e-02  0.00000000e+00  9.44700000e-04 -5.16740400e+04  0.00000000e+00  3.34440900e+03
 0.00000000e+00  0.00000000e+00  1.41705000e-03  0.00000000e+00  0.00000000e+00  2.48007900e+04
 5.00000000e-04  0.00000000e+00  1.41705000e-03 -4.46310500e+03  0.00000000e+00  2.46949300e+04
 1.00000000e-03  0.00000000e+00  1.41705000e-03 -8.91540400e+03  0.00000000e+00  2.45271700e+04
 1.50000000e-03  0.00000000e+00  1.41705000e-03 -1.32849900e+04  0.00000000e+00  2.42205400e+04
 2.00000000e-03  0.00000000e+00  1.41705000e-03 -1.75555200e+04  0.00000000e+00  2.37951000e+04
 2.50000000e-03  0.00000000e+00  1.41705000e-03 -2.16948400e+04  0.00000000e+00  2.32550000e+04
 3.00000000e-03  0.00000000e+00  1.41705000e-03 -2.56685700e+04  0.00000000e+00  2.25937200e+04
 3.50000000e-03  0.00000000e+00  1.41705000e-03 -2.94527400e+04  0.00000000e+00  2.18372600e+04
 4.00000000e-03  0.00000000e+00  1.41705000e-03 -3.30185600e+04  0.00000000e+00  2.09844700e+04
 4.50000000e-03  0.00000000e+00  1.41705000e-03 -3.63417800e+04  0.00000000e+00  2.00438800e+04
 5.00000000e-03  0.00000000e+00  1.41705000e-03 -3.94008900e+04  0.00000000e+00  1.90250300e+04
 5.50000000e-03  0.00000000e+00  1.41705000e-03 -4.21773900e+04  0.00000000e+00  1.79384100e+04
 6.00000000e-03  0.00000000e+00  1.41705000e-03 -4.46560200e+04  0.00000000e+00  1.67953400e+04
 6.50000000e-03  0.00000000e+00  1.41705000e-03 -4.68250900e+04  0.00000000e+00  1.56078300e+04
 7.00000000e-03  0.00000000e+00  1.41705000e-03 -4.86765900e+04  0.00000000e+00  1.43884400e+04
 7.50000000e-03  0.00000000e+00  1.41705000e-03 -5.02063900e+04  0.00000000e+00  1.31500500e+04
 8.00000000e-03  0.00000000e+00  1.41705000e-03 -5.14142700e+04  0.00000000e+00  1.19056400e+04
 8.50000000e-03  0.00000000e+00  1.41705000e-03 -5.23039100e+04  0.00000000e+00  1.06680800e+04
 9.00000000e-03  0.00000000e+00  1.41705000e-03 -5.28828200e+04  0.00000000e+00  9.44984400e+03
 9.50000000e-03  0.00000000e+00  1.41705000e-03 -5.31621500e+04  0.00000000e+00  8.26273300e+03
 1.00000000e-02  0.00000000e+00  1.41705000e-03 -5.31563800e+04  0.00000000e+00  7.11764900e+03
 1.05000000e-02  0.00000000e+00  1.41705000e-03 -5.28829900e+04  0.00000000e+00  6.02434300e+03
 1.10000000e-02  0.00000000e+00  1.41705000e-03 -5.23620300e+04  0.00000000e+00  4.99121800e+03
 0.00000000e+00  0.00000000e+00  1.88940000e-03  0.00000000e+00  0.00000000e+00  3.33993100e+04
 5.00000000e-04  0.00000000e+00  1.88940000e-03 -4.58851300e+03  0.00000000e+00  3.32410300e+04
 1.00000000e-03  0.00000000e+00  1.88940000e-03 -9.16614700e+03  0.00000000e+00  3.30029800e+04
 1.50000000e-03  0.00000000e+00  1.88940000e-03 -1.36583400e+04  0.00000000e+00  3.25861500e+04
 2.00000000e-03  0.00000000e+00  1.88940000e-03 -1.80479400e+04  0.00000000e+00  3.20082500e+04
 2.50000000e-03  0.00000000e+00  1.88940000e-03 -2.23015800e+04  0.00000000e+00  3.12746500e+04
 3.00000000e-03  0.00000000e+00  1.88940000e-03 -2.63875000e+04  0.00000000e+00  3.03922600e+04
 3.50000000e-03  0.00000000e+00  1.88940000e-03 -3.02757100e+04  0.00000000e+00  2.93694900e+04
 4.00000000e-03  0.00000000e+00  1.88940000e-03 -3.39184000e+04  0.00000000e+00  2.82208800e+04
