# xp yp zp Ex Ey Ez
# 4623 6
# 201 1 23 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 5.00000000e-04  0.00000000e+00  0.00000000e+00 -3.11214300e+03  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00 -6.20492800e+03  0.00000000e+00  0.00000000e+00
 1.50000000e-03  0.00000000e+00  0.00000000e+00 -9.25778500e+03  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00 -1.22475700e+04  0.00000000e+00  0.00000000e+00
 2.50000000e-03  0.00000000e+00  0.00000000e+00 -1.51541900e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00 -1.79584500e+04  0.00000000e+00  0.00000000e+00
 3.50000000e-03  0.00000000e+00  0.00000000e+00 -2.06422600e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00 -2.31888800e+04  0.00000000e+00  0.00000000e+00
 4.50000000e-03  0.00000000e+00  0.00000000e+00 -2.55831000e+04  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00 -2.78114200e+04  0.00000000e+00  0.00000000e+00
 5.50000000e-03  0.00000000e+00  0.00000000e+00 -2.98622000e+04  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00 -3.17258000e+04  0.00000000e+00  0.00000000e+00
 6.50000000e-03  0.00000000e+00  0.00000000e+00 -3.33946900e+04  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00 -3.48635200e+04  0.00000000e+00  0.00000000e+00
 7.50000000e-03  0.00000000e+00  0.00000000e+00 -3.61291500e+04  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00 -3.71906700e+04  0.00000000e+00  0.00000000e+00
 8.50000000e-03  0.00000000e+00  0.00000000e+00 -3.80493500e+04  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00 -3.87085600e+04  0.00000000e+00  0.00000000e+00
 9.50000000e-03  0.00000000e+00  0.00000000e+00 -3.91736800e+04  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00 -3.94519000e+04  0.00000000e+00  0.00000000e+00
 1.05000000e-02  0.00000000e+00  0.00000000e+00 -3.95521000e+04  0.00000000e+00  0.00000000e+00
 1.10000000e-02  0.00000000e+00  0.00000000e+00 -3.94845500e+04  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  5.24325000e-04  0.00000000e+00  0.00000000e+00  6.56678800e+03
 5.00000000e-04  0.00000000e+00  5.24325000e-04 -3.12729300e+03  0.00000000e+00  6.54073200e+03
 1.00000000e-03  0.00000000e+00  5.24325000e-04 -6.23386800e+03  0.00000000e+00  6.48444900e+03
 1.50000000e-03  0.00000000e+00  5.24325000e-04 -9.29752900e+03  0.00000000e+00  6.41340300e+03
 2.00000000e-03  0.00000000e+00  5.24325000e-04 -1.22972200e+04  0.00000000e+00  6.31480600e+03
 2.50000000e-03  0.00000000e+00  5.24325000e-04 -1.52127100e+04  0.00000000e+00  6.18961800e+03
 3.00000000e-03  0.00000000e+00  5.24325000e-04 -1.79930300e+04  0.00000000e+00  5.99715000e+03
 3.50000000e-03  0.00000000e+00  5.24325000e-04 -2.06822100e+04  0.00000000e+00  5.81453900e+03
 4.00000000e-03  0.00000000e+00  5.24325000e-04 -2.32338100e+04  0.00000000e+00  5.61011500e+03
 4.50000000e-03  0.00000000e+00  5.24325000e-04 -2.56325400e+04  0.00000000e+00  5.38584200e+03
 5.00000000e-03  0.00000000e+00  5.24325000e-04 -2.78648300e+04  0.00000000e+00  5.14386600e+03
 5.50000000e-03  0.00000000e+00  5.24325000e-04 -2.99189800e+04  0.00000000e+00  4.88649200e+03
 6.00000000e-03  0.00000000e+00  5.24325000e-04 -3.17853000e+04  0.00000000e+00  4.61615900e+03
 6.50000000e-03  0.00000000e+00  5.24325000e-04 -3.34562400e+04  0.00000000e+00  4.33541200e+03
 7.00000000e-03  0.00000000e+00  5.24325000e-04 -3.49264100e+04  0.00000000e+00  4.04686700e+03
 7.50000000e-03  0.00000000e+00  5.24325000e-04 -3.61926800e+04  0.00000000e+00  3.75317200e+03
 8.00000000e-03  0.00000000e+00  5.24325000e-04 -3.72541300e+04  0.00000000e+00  3.45697400e+03
 8.50000000e-03  0.00000000e+00  5.24325000e-04 -3.81120600e+04  0.00000000e+00  3.16087400e+03
 9.00000000e-03  0.00000000e+00  5.24325000e-04 -3.87698900e+04  0.00000000e+00  2.86739000e+03
 9.50000000e-03  0.00000000e+00  5.24325000e-04 -3.92330200e+04  0.00000000e+00  2.57891400e+03
 1.00000000e-02  0.00000000e+00  5.24325000e-04 -3.95448300e+04  0.00000000e+00  2.23894400e+03
 1.05000000e-02  0.00000000e+00  5.24325000e-04 -3.96431000e+04  0.00000000e+00  1.96969100e+03
